sku_id,date,closing_stock_units,daily_consumption_units,days_of_cover,is_stockout,is_low_stock_alert
SKU-00064,2023-01-01,39615,1317,30.1,0,0
SKU-00064,2023-01-02,38480,1135,33.9,0,0
SKU-00064,2023-01-03,37263,1217,30.6,0,0
SKU-00064,2023-01-04,36108,1155,31.3,0,0
SKU-00064,2023-01-05,35072,1036,33.9,0,0
SKU-00064,2023-01-06,33992,1080,31.5,0,0
SKU-00064,2023-01-07,32938,1054,31.3,0,0
SKU-00064,2023-01-08,31643,1295,24.4,0,0
SKU-00064,2023-01-09,30583,1060,28.9,0,0
SKU-00064,2023-01-10,29520,1063,27.8,0,0
SKU-00064,2023-01-11,28481,1039,27.4,0,0
SKU-00064,2023-01-12,27311,1170,23.3,0,0
SKU-00064,2023-01-13,26089,1222,21.3,0,0
SKU-00064,2023-01-14,24801,1288,19.3,0,0
SKU-00064,2023-01-15,23722,1079,22.0,0,0
SKU-00064,2023-01-16,22682,1040,21.8,0,0
SKU-00064,2023-01-17,21414,1268,16.9,0,0
SKU-00064,2023-01-18,20292,1122,18.1,0,0
SKU-00064,2023-01-19,19093,1199,15.9,0,0
SKU-00064,2023-01-20,18031,1062,17.0,0,0
SKU-00064,2023-01-21,16833,1198,14.1,0,0
SKU-00064,2023-01-22,15555,1278,12.2,0,0
SKU-00064,2023-01-23,14475,1080,13.4,0,0
SKU-00064,2023-01-24,13165,1310,10.0,0,0
SKU-00064,2023-01-25,22083,1116,19.8,0,0
SKU-00064,2023-01-26,20994,1089,19.3,0,0
SKU-00064,2023-01-27,19711,1283,15.4,0,0
SKU-00064,2023-01-28,18540,1171,15.8,0,0
SKU-00064,2023-01-29,17376,1164,14.9,0,0
SKU-00064,2023-01-30,16335,1041,15.7,0,0
SKU-00064,2023-01-31,15097,1238,12.2,0,0
SKU-00064,2023-02-01,13861,1236,11.2,0,0
SKU-00064,2023-02-02,12755,1106,11.5,0,0
SKU-00064,2023-02-03,25753,1037,24.8,0,0
SKU-00064,2023-02-04,24437,1316,18.6,0,0
SKU-00064,2023-02-05,23410,1027,22.8,0,0
SKU-00064,2023-02-06,22292,1118,19.9,0,0
SKU-00064,2023-02-07,21289,1003,21.2,0,0
SKU-00064,2023-02-08,19989,1300,15.4,0,0
SKU-00064,2023-02-09,18700,1289,14.5,0,0
SKU-00064,2023-02-10,17439,1261,13.8,0,0
SKU-00064,2023-02-11,16305,1134,14.4,0,0
SKU-00064,2023-02-12,15080,1225,12.3,0,0
SKU-00064,2023-02-13,14001,1079,13.0,0,0
SKU-00064,2023-02-14,12853,1148,11.2,0,0
SKU-00064,2023-02-15,22854,1138,20.1,0,0
SKU-00064,2023-02-16,21852,1002,21.8,0,0
SKU-00064,2023-02-17,20574,1278,16.1,0,0
SKU-00064,2023-02-18,19419,1155,16.8,0,0
SKU-00064,2023-02-19,18413,1006,18.3,0,0
SKU-00064,2023-02-20,17207,1206,14.3,0,0
SKU-00064,2023-02-21,16147,1060,15.2,0,0
SKU-00064,2023-02-22,15091,1056,14.3,0,0
SKU-00064,2023-02-23,13970,1121,12.5,0,0
SKU-00064,2023-02-24,12796,1174,10.9,0,0
SKU-00064,2023-02-25,23526,1285,18.3,0,0
SKU-00064,2023-02-26,22539,987,22.8,0,0
SKU-00064,2023-02-27,21245,1294,16.4,0,0
SKU-00064,2023-02-28,20055,1190,16.9,0,0
SKU-00064,2023-03-01,18942,1113,17.0,0,0
SKU-00064,2023-03-02,17711,1231,14.4,0,0
SKU-00064,2023-03-03,16638,1073,15.5,0,0
SKU-00064,2023-03-04,15471,1167,13.3,0,0
SKU-00064,2023-03-05,14247,1224,11.6,0,0
SKU-00064,2023-03-06,12972,1275,10.2,0,0
SKU-00064,2023-03-07,22089,1039,21.3,0,0
SKU-00064,2023-03-08,20913,1176,17.8,0,0
SKU-00064,2023-03-09,19801,1112,17.8,0,0
SKU-00064,2023-03-10,18808,993,18.9,0,0
SKU-00064,2023-03-11,17716,1092,16.2,0,0
SKU-00064,2023-03-12,16723,993,16.8,0,0
SKU-00064,2023-03-13,15449,1274,12.1,0,0
SKU-00064,2023-03-14,14384,1065,13.5,0,0
SKU-00064,2023-03-15,13090,1294,10.1,0,0
SKU-00064,2023-03-16,23281,1043,22.3,0,0
SKU-00064,2023-03-17,22208,1073,20.7,0,0
SKU-00064,2023-03-18,21140,1068,19.8,0,0
SKU-00064,2023-03-19,20140,1000,20.1,0,0
SKU-00064,2023-03-20,19096,1044,18.3,0,0
SKU-00064,2023-03-21,17866,1230,14.5,0,0
SKU-00064,2023-03-22,16621,1245,13.4,0,0
SKU-00064,2023-03-23,15347,1274,12.0,0,0
SKU-00064,2023-03-24,14172,1175,12.1,0,0
SKU-00064,2023-03-25,13097,1075,12.2,0,0
SKU-00064,2023-03-26,25269,1168,21.6,0,0
SKU-00064,2023-03-27,24182,1087,22.2,0,0
SKU-00064,2023-03-28,22871,1311,17.4,0,0
SKU-00064,2023-03-29,21599,1272,17.0,0,0
SKU-00064,2023-03-30,20280,1319,15.4,0,0
SKU-00064,2023-03-31,19213,1067,18.0,0,0
SKU-00064,2023-04-01,17981,1232,14.6,0,0
SKU-00064,2023-04-02,16696,1285,13.0,0,0
SKU-00064,2023-04-03,15503,1193,13.0,0,0
SKU-00064,2023-04-04,14504,999,14.5,0,0
SKU-00064,2023-04-05,13263,1241,10.7,0,0
SKU-00064,2023-04-06,26435,1067,24.8,0,0
SKU-00064,2023-04-07,25113,1322,19.0,0,0
SKU-00064,2023-04-08,23806,1307,18.2,0,0
SKU-00064,2023-04-09,22664,1142,19.8,0,0
SKU-00064,2023-04-10,21568,1096,19.7,0,0
SKU-00064,2023-04-11,20574,994,20.7,0,0
SKU-00064,2023-04-12,19380,1194,16.2,0,0
SKU-00064,2023-04-13,18197,1183,15.4,0,0
SKU-00064,2023-04-14,16939,1258,13.5,0,0
SKU-00064,2023-04-15,15809,1130,14.0,0,0
SKU-00064,2023-04-16,14549,1260,11.5,0,0
SKU-00064,2023-04-17,13478,1071,12.6,0,0
SKU-00064,2023-04-18,23700,1011,23.4,0,0
SKU-00064,2023-04-19,22513,1187,19.0,0,0
SKU-00064,2023-04-20,21418,1095,19.6,0,0
SKU-00064,2023-04-21,20132,1286,15.7,0,0
SKU-00064,2023-04-22,19125,1007,19.0,0,0
SKU-00064,2023-04-23,17977,1148,15.7,0,0
SKU-00064,2023-04-24,16934,1043,16.2,0,0
SKU-00064,2023-04-25,15871,1063,14.9,0,0
SKU-00064,2023-04-26,14554,1317,11.1,0,0
SKU-00064,2023-04-27,13295,1259,10.6,0,0
SKU-00064,2023-04-28,25953,1165,22.3,0,0
SKU-00064,2023-04-29,24633,1320,18.7,0,0
SKU-00064,2023-04-30,23577,1056,22.3,0,0
SKU-00064,2023-05-01,22270,1307,17.0,0,0
SKU-00064,2023-05-02,21130,1140,18.5,0,0
SKU-00064,2023-05-03,19859,1271,15.6,0,0
SKU-00064,2023-05-04,18806,1053,17.9,0,0
SKU-00064,2023-05-05,17557,1249,14.1,0,0
SKU-00064,2023-05-06,16521,1036,15.9,0,0
SKU-00064,2023-05-07,15499,1022,15.2,0,0
SKU-00064,2023-05-08,14480,1019,14.2,0,0
SKU-00064,2023-05-09,13372,1108,12.1,0,0
SKU-00064,2023-05-10,24393,1306,18.7,0,0
SKU-00064,2023-05-11,23164,1229,18.8,0,0
SKU-00064,2023-05-12,22106,1058,20.9,0,0
SKU-00064,2023-05-13,20847,1259,16.6,0,0
SKU-00064,2023-05-14,19670,1177,16.7,0,0
SKU-00064,2023-05-15,18525,1145,16.2,0,0
SKU-00064,2023-05-16,17423,1102,15.8,0,0
SKU-00064,2023-05-17,16330,1093,14.9,0,0
SKU-00064,2023-05-18,15191,1139,13.3,0,0
SKU-00064,2023-05-19,13940,1251,11.1,0,0
SKU-00064,2023-05-20,12793,1147,11.2,0,0
SKU-00064,2023-05-21,23823,1236,19.3,0,0
SKU-00064,2023-05-22,22502,1321,17.0,0,0
SKU-00064,2023-05-23,21499,1003,21.4,0,0
SKU-00064,2023-05-24,20505,994,20.6,0,0
SKU-00064,2023-05-25,19350,1155,16.8,0,0
SKU-00064,2023-05-26,18293,1057,17.3,0,0
SKU-00064,2023-05-27,17312,981,17.6,0,0
SKU-00064,2023-05-28,16324,988,16.5,0,0
SKU-00064,2023-05-29,15147,1177,12.9,0,0
SKU-00064,2023-05-30,13979,1168,12.0,0,0
SKU-00064,2023-05-31,12721,1258,10.1,0,0
SKU-00064,2023-06-01,24021,1019,23.6,0,0
SKU-00064,2023-06-02,23121,900,25.7,0,0
SKU-00064,2023-06-03,22173,948,23.4,0,0
SKU-00064,2023-06-04,21277,896,23.7,0,0
SKU-00064,2023-06-05,20251,1026,19.7,0,0
SKU-00064,2023-06-06,19218,1033,18.6,0,0
SKU-00064,2023-06-07,18302,916,20.0,0,0
SKU-00064,2023-06-08,17404,898,19.4,0,0
SKU-00064,2023-06-09,16402,1002,16.4,0,0
SKU-00064,2023-06-10,15523,879,17.7,0,0
SKU-00064,2023-06-11,14593,930,15.7,0,0
SKU-00064,2023-06-12,13563,1030,13.2,0,0
SKU-00064,2023-06-13,23317,999,23.3,0,0
SKU-00064,2023-06-14,22388,929,24.1,0,0
SKU-00064,2023-06-15,21381,1007,21.2,0,0
SKU-00064,2023-06-16,20514,867,23.7,0,0
SKU-00064,2023-06-17,19592,922,21.2,0,0
SKU-00064,2023-06-18,18713,879,21.3,0,0
SKU-00064,2023-06-19,17787,926,19.2,0,0
SKU-00064,2023-06-20,16863,924,18.2,0,0
SKU-00064,2023-06-21,15883,980,16.2,0,0
SKU-00064,2023-06-22,14986,897,16.7,0,0
SKU-00064,2023-06-23,14099,887,15.9,0,0
SKU-00064,2023-06-24,13222,877,15.1,0,0
SKU-00064,2023-06-25,23441,970,24.2,0,0
SKU-00064,2023-06-26,22522,919,24.5,0,0
SKU-00064,2023-06-27,21633,889,24.3,0,0
SKU-00064,2023-06-28,20761,872,23.8,0,0
SKU-00064,2023-06-29,19832,929,21.3,0,0
SKU-00064,2023-06-30,18956,876,21.6,0,0
SKU-00064,2023-07-01,17986,970,18.5,0,0
SKU-00064,2023-07-02,17100,886,19.3,0,0
SKU-00064,2023-07-03,16095,1005,16.0,0,0
SKU-00064,2023-07-04,15194,901,16.9,0,0
SKU-00064,2023-07-05,14183,1011,14.0,0,0
SKU-00064,2023-07-06,13242,941,14.1,0,0
SKU-00064,2023-07-07,24764,877,28.2,0,0
SKU-00064,2023-07-08,23873,891,26.8,0,0
SKU-00064,2023-07-09,22968,905,25.4,0,0
SKU-00064,2023-07-10,21977,991,22.2,0,0
SKU-00064,2023-07-11,21077,900,23.4,0,0
SKU-00064,2023-07-12,20122,955,21.1,0,0
SKU-00064,2023-07-13,19201,921,20.8,0,0
SKU-00064,2023-07-14,18268,933,19.6,0,0
SKU-00064,2023-07-15,17277,991,17.4,0,0
SKU-00064,2023-07-16,16364,913,17.9,0,0
SKU-00064,2023-07-17,15333,1031,14.9,0,0
SKU-00064,2023-07-18,14418,915,15.8,0,0
SKU-00064,2023-07-19,13431,987,13.6,0,0
SKU-00064,2023-07-20,23114,986,23.4,0,0
SKU-00064,2023-07-21,22132,982,22.5,0,0
SKU-00064,2023-07-22,21205,927,22.9,0,0
SKU-00064,2023-07-23,20243,962,21.0,0,0
